代号	论坛	标题	链接
Hong_2015-8-12_053	加易论坛	活在当下，脚踏实地地做好今天的事	http://ieasy5.com/bbs/read.php?tid=2513
Hong_2015-8-12_054	加易论坛	坚持和勇气	http://ieasy5.com/bbs/read.php?tid=2523
Hong_2015-8-12_055	加易论坛	信念与希望	http://ieasy5.com/bbs/read.php?tid=2522
Hong_2015-8-12_056	加易论坛	建立属于自己的风格	http://ieasy5.com/bbs/read.php?tid=2519
Hong_2015-8-12_057	加易论坛	相信自己一定能行	http://ieasy5.com/bbs/read.php?tid=2517
Hong_2015-8-12_058	加易论坛	在逆境中保持微笑	http://ieasy5.com/bbs/read.php?tid=2521
Hong_2015-8-12_059	加易论坛	河南“90后”小伙卖酸辣粉筹款救助好友之子	http://ieasy5.com/bbs/read.php?tid=2527
Hong_2015-8-12_060	加易论坛	重庆15岁准护士双腿跪地当靠垫救人	http://ieasy5.com/bbs/read.php?tid=2526
Hong_2015-8-12_061	加易论坛	青春和阳光	http://ieasy5.com/bbs/read.php?tid=2525
Hong_2015-8-12_062	加易论坛	论反腐倡廉的重要意义	http://ieasy5.com/bbs/read.php?tid=2528
Hong_2015-8-12_063	加易论坛	女孩癌症4年五次接病危通知 仍乐观漫画记录抗癌	http://ieasy5.com/bbs/read.php?tid=2529
Hong_2015-8-12_064	加易论坛	活在当下，脚踏实地地做好今天的事	http://ieasy5.com/bbs/read.php?tid=2518
Hong_2015-8-12_065	加易论坛	带着梦想，一直往前奋斗	http://ieasy5.com/bbs/read.php?tid=2514
Hong_2015-8-12_066	加易论坛	青春飞扬，梦想起航	http://ieasy5.com/bbs/read.php?tid=2516
Hong_2015-8-12_067	加易论坛	生态文明将自然净化中国官员队伍：果树剪枝！升级为育民强民“大康社会”！	http://ieasy5.com/bbs/read.php?tid=2532
Hong_2015-8-12_068	加易论坛	正能量心情，让自己积极工作	http://ieasy5.com/bbs/read.php?tid=2531
Hong_2015-8-12_069	加易论坛	学会看轻自己	http://ieasy5.com/bbs/read.php?tid=2538
Hong_2015-8-12_070	加易论坛	习近平10句反腐“硬话”自己不检点怎么去要求人家	http://ieasy5.com/bbs/read.php?tid=2530
Hong_2015-8-12_071	加易论坛	加强党的执政能力建设	http://ieasy5.com/bbs/read.php?tid=2534
Hong_2015-8-12_072	加易论坛	警钟长鸣	http://ieasy5.com/bbs/read.php?tid=2535
Hong_2015-8-12_073	加易论坛	伏久者飞必高，开先者谢独早	http://ieasy5.com/bbs/read.php?tid=2537
Hong_2015-8-12_074	加易论坛	为救陌生小伙，66岁的她伸手挡刀	http://ieasy5.com/bbs/read.php?tid=2544
Hong_2015-8-12_075	加易论坛	全球化与互联网时代的叠加给中国社会治理带来的考验	http://ieasy5.com/bbs/read.php?tid=2536
Hong_2015-8-12_076	加易论坛	90后小伙卖酸辣粉救人 为救好友白血病儿子	http://ieasy5.com/bbs/read.php?tid=2542
Hong_2015-8-12_077	加易论坛	绝处逢生	http://ieasy5.com/bbs/read.php?tid=2524
Hong_2015-8-12_078	加易论坛	开出租不能见死不救	http://ieasy5.com/bbs/read.php?tid=2543
Hong_2015-8-12_079	加易论坛	姑娘公交车内晕倒 司机载着50名乘客直奔医院	http://ieasy5.com/bbs/read.php?tid=2545
Hong_2015-8-12_080	加易论坛	用乐观的心态看待人生	http://ieasy5.com/bbs/read.php?tid=2539
Hong_2015-8-12_081	加易论坛	眼前的风景才是最美的	http://ieasy5.com/bbs/read.php?tid=2540
Hong_2015-8-12_082	加易论坛	长春一居民楼起火，众人抬车为救援让路	http://ieasy5.com/bbs/read.php?tid=2541
Hong_2015-8-12_083	外来客论坛	眼前的风景才是最美的	http://www.wailaike.net/post?id=1508
Hong_2015-8-12_084	加易论坛	在逆境中保持微笑	http://ieasy5.com/bbs/read.php?tid=2512
Hong_2015-8-12_085	加易论坛	2022年冬奥会，花落北京-张家口	http://ieasy5.com/bbs/read.php?tid=2533
Hong_2015-8-12_086	加易论坛	用军人的血性和情怀锻造大国剑锋	http://ieasy5.com/bbs/read.php?tid=2547
Hong_2015-8-12_087	外来客论坛	改变自己	http://www.wailaike.net/post?id=1507
Hong_2015-8-12_088	加易论坛	援藏乾部胡巧立：紮根高原織夢綠色西藏	http://ieasy5.com/bbs/read.php?tid=2546
Hong_2015-8-12_089	泰国华人论坛	为救陌生小伙，66岁的她伸手挡刀	http://www.taihuabbs.com/read-htm-tid-287283-ds-1.html
Hong_2015-8-12_090	泰国华人论坛	开出租不能见死不救	http://www.taihuabbs.com/read-htm-tid-287282-ds-1.html
Hong_2015-8-12_091	泰国华人论坛	长春一居民楼起火，众人抬车为救援让路	http://www.taihuabbs.com/read-htm-tid-287280-ds-1.html
Hong_2015-8-12_092	泰国华人论坛	90后小伙卖酸辣粉救人 为救好友白血病儿子	http://www.taihuabbs.com/read-htm-tid-287281-ds-1.html
Hong_2015-8-12_093	消息树论坛	带着梦想，一直往前奋斗	http://enewstree.com/discuz/forum.php?mod=viewthread&tid=79989&extra=
Hong_2015-8-13_000	阿波罗论坛	看得见未来才有未来	http://bbs.aboluowang.com/thread-962033-1-1.html
Hong_2015-8-13_001	阿波罗论坛	别迷失在“成功故事”中	http://bbs.aboluowang.com/thread-962035-1-1.html
Hong_2015-8-13_002	阿波罗论坛	生命的意义作文	http://bbs.aboluowang.com/thread-962045-1-1.html
Hong_2015-8-13_003	阿波罗论坛	奔跑不只为第一	http://bbs.aboluowang.com/thread-962047-1-1.html
Hong_2015-8-13_004	阿波罗论坛	命中注定不是天才的我们	http://bbs.aboluowang.com/thread-962039-1-1.html
Hong_2015-8-13_005	阿波罗论坛	改变自己	http://bbs.aboluowang.com/thread-962051-1-1.html
Hong_2015-8-13_006	阿波罗论坛	经历风雨才能见彩虹	http://bbs.aboluowang.com/thread-962053-1-1.html
Hong_2015-8-13_007	阿波罗论坛	人才不靠天公降 勇于创新敢担当	http://bbs.aboluowang.com/thread-962061-1-1.html
Hong_2015-8-13_008	阿波罗论坛	如果无法赢在起点，就想办法赢在终点！	http://bbs.aboluowang.com/thread-962055-1-1.html
Hong_2015-8-13_009	阿波罗论坛	什么时候都不能丢弃“仁”性	http://bbs.aboluowang.com/thread-962063-1-1.html
Hong_2015-8-13_010	阿波罗论坛	印度如何超越中国	http://bbs.aboluowang.com/thread-962065-1-1.html
Hong_2015-8-13_011	阿波罗论坛	远离不利的价值观	http://bbs.aboluowang.com/thread-962073-1-1.html
Hong_2015-8-13_012	阿波罗论坛	良言还需裹“糖衣”	http://bbs.aboluowang.com/thread-962071-1-1.html
Hong_2015-8-13_013	阿波罗论坛	在勤奋中创造奇迹	http://bbs.aboluowang.com/thread-962075-1-1.html
Hong_2015-8-13_014	阿波罗论坛	打开窗户，让自己透透气	http://bbs.aboluowang.com/thread-962077-1-1.html
Hong_2015-8-13_015	阿波罗论坛	天道酬勤	http://bbs.aboluowang.com/thread-962057-1-1.html
Hong_2015-8-13_016	阿波罗论坛	做一个友谊上的大富翁	http://bbs.aboluowang.com/thread-962067-1-1.html
Hong_2015-8-13_017	阿波罗论坛	为生命画一片树叶	http://bbs.aboluowang.com/thread-962113-1-1.html
Hong_2015-8-13_018	阿波罗论坛	阴影是条纸龙	http://bbs.aboluowang.com/thread-962115-1-1.html
Hong_2015-8-13_019	阿波罗论坛	坚持正能量，活出全新的自己	http://bbs.aboluowang.com/thread-962109-1-1.html
Hong_2015-8-13_020	阿波罗论坛	生命的价值	http://bbs.aboluowang.com/thread-962111-1-1.html
Hong_2015-8-13_021	飞月网论坛	【辉煌50年·大美新西藏】沧桑巨变 雪域放歌	http://bbs.onmoon.com/forum.php?mod=viewthread&tid=10561&extra=
Hong_2015-8-13_022	阿波罗论坛	千万不要“不好意思”	http://bbs.aboluowang.com/thread-962069-1-1.html
Hong_2015-8-13_023	飞月网论坛	在逆境中保持微笑	http://bbs.onmoon.com/forum.php?mod=viewthread&tid=10560&extra=
Hong_2015-8-13_024	飞月网论坛	西藏女性命运变迁：从命价“一根绳”到撑起半边天	http://bbs.onmoon.com/forum.php?mod=viewthread&tid=10563&extra=
Hong_2015-8-13_025	飞月网论坛	纽约：为流浪汉免费做发型的汉子	http://bbs.onmoon.com/forum.php?mod=viewthread&tid=10566&extra=
Hong_2015-8-13_026	飞月网论坛	佟麟阁：“军人就应以死报国”	http://bbs.onmoon.com/forum.php?mod=viewthread&tid=10564&extra=
Hong_2015-8-13_027	飞月网论坛	看得见未来才有未来	http://bbs.onmoon.com/forum.php?mod=viewthread&tid=10567&extra=
Hong_2015-8-13_028	飞月网论坛	民政部等三部门要求做好慰问抗战老战士工作	http://bbs.onmoon.com/forum.php?mod=viewthread&tid=10562&extra=
Hong_2015-8-13_029	飞月网论坛	贾树庆：我是一名保安更是一名党员	http://bbs.onmoon.com/forum.php?mod=viewthread&tid=10568&extra=
Hong_2015-8-13_030	飞月网论坛	发改委已下达18省市水污染治理投资计划	http://bbs.onmoon.com/forum.php?mod=viewthread&tid=10565&extra=
Hong_2015-8-13_031	天易论坛	为国家需要而创新	http://bbs.wolfax.com/t-154062-1-1.html
Hong_2015-8-13_032	天易论坛	在逆境中保持微笑	http://bbs.wolfax.com/t-154057-1-1.html
Hong_2015-8-13_033	天易论坛	徐崇温：在国际比较中坚持和拓展中国道路	http://bbs.wolfax.com/t-154069-1-1.html
Hong_2015-8-13_034	天易论坛	警卫参谋亲历南京受降：冈村宁次的手一直在抖	http://bbs.wolfax.com/t-154097-1-1.html
Hong_2015-8-13_035	天易论坛	【辉煌50年·大美新西藏】沧桑巨变 雪域放歌	http://bbs.wolfax.com/t-154077-1-1.html
Hong_2015-8-13_036	天易论坛	按照“三严三实”要求 践行井冈山精神	http://bbs.wolfax.com/t-154086-1-1.html
Hong_2015-8-13_037	天易论坛	中国梦的追梦人——马云和阿里巴巴的故事	http://bbs.wolfax.com/t-154083-1-1.html
Hong_2015-8-13_038	天易论坛	罗援：为抗战老兵发放补贴政治意义远超经济意义	http://bbs.wolfax.com/t-154103-1-1.html
Hong_2015-8-13_039	天易论坛	民政部等三部门要求做好慰问抗战老战士工作	http://bbs.wolfax.com/t-154107-1-1.html
Hong_2015-8-13_040	天易论坛	西藏女性命运变迁：从命价“一根绳”到撑起半边天	http://bbs.wolfax.com/t-154120-1-1.html
Hong_2015-8-13_041	天易论坛	享受生命，让自己快乐	http://bbs.wolfax.com/t-154124-1-1.html
Hong_2015-8-13_042	天易论坛	佟麟阁：“军人就应以死报国”	http://bbs.wolfax.com/t-154132-1-1.html
Hong_2015-8-13_043	天易论坛	爱才重才助才 激扬创新力量	http://bbs.wolfax.com/t-154115-1-1.html
Hong_2015-8-13_044	天易论坛	揭秘日本发动九一八事变侵略行径如何曝光于国际社会	http://bbs.wolfax.com/t-154136-1-1.html
Hong_2015-8-13_045	天易论坛	10个月助6千位寻人者圆梦 《等着我》进军黄金档温情继续	http://bbs.wolfax.com/t-154145-1-1.html
Hong_2015-8-13_046	天易论坛	发改委已下达18省市水污染治理投资计划	http://bbs.wolfax.com/t-154152-1-1.html
Hong_2015-8-13_047	天易论坛	留住美丽乡村的历史文脉	http://bbs.wolfax.com/t-154158-1-1.html
Hong_2015-8-13_048	天易论坛	纽约：为流浪汉免费做发型的汉子	http://bbs.wolfax.com/t-154164-1-1.html
Hong_2015-8-13_049	天易论坛	边防官兵与辖区政府工作人员救助老人	http://bbs.wolfax.com/t-154169-1-1.html
Hong_2015-8-13_050	天易论坛	看得见未来才有未来	http://bbs.wolfax.com/t-154175-1-1.html
Hong_2015-8-13_051	天易论坛	别迷失在“成功故事”中	http://bbs.wolfax.com/t-154181-1-1.html
Hong_2015-8-13_052	天易论坛	生命的意义作文	http://bbs.wolfax.com/t-154203-1-1.html
Hong_2015-8-13_053	天易论坛	跨越苦难	http://bbs.wolfax.com/t-154194-1-1.html
Hong_2015-8-13_054	天易论坛	奔跑不只为第一	http://bbs.wolfax.com/t-154209-1-1.html
Hong_2015-8-13_055	天易论坛	经历风雨才能见彩虹	http://bbs.wolfax.com/t-154220-1-1.html
Hong_2015-8-13_056	天易论坛	人才不靠天公降 勇于创新敢担当	http://bbs.wolfax.com/t-154251-1-1.html
Hong_2015-8-13_057	天易论坛	如果无法赢在起点，就想办法赢在终点！	http://bbs.wolfax.com/t-154227-1-1.html
Hong_2015-8-13_058	天易论坛	什么时候都不能丢弃“仁”性	http://bbs.wolfax.com/t-154261-1-1.html
Hong_2015-8-13_059	天易论坛	印度如何超越中国	http://bbs.wolfax.com/t-154269-1-1.html
Hong_2015-8-13_060	天易论坛	命中注定不是天才的我们	http://bbs.wolfax.com/t-154191-1-1.html
Hong_2015-8-13_061	天易论坛	做一个友谊上的大富翁	http://bbs.wolfax.com/t-154287-1-1.html
Hong_2015-8-13_062	天易论坛	文明建造	http://bbs.wolfax.com/t-154274-1-1.html
Hong_2015-8-13_063	天易论坛	千万不要“不好意思”	http://bbs.wolfax.com/t-154309-1-1.html
Hong_2015-8-13_064	天易论坛	良言还需裹“糖衣”	http://bbs.wolfax.com/t-154326-1-1.html
Hong_2015-8-13_065	天易论坛	适时放弃，打开心结	http://bbs.wolfax.com/t-154361-1-1.html
Hong_2015-8-13_066	天易论坛	做人贵在难得糊涂	http://bbs.wolfax.com/t-154298-1-1.html
Hong_2015-8-13_067	天易论坛	91岁老人心疼19岁患癌女生 愿资助四年学费	http://bbs.wolfax.com/t-154371-1-1.html
Hong_2015-8-13_068	天易论坛	贾树庆：我是一名保安更是一名党员	http://bbs.wolfax.com/t-154381-1-1.html
Hong_2015-8-13_069	天易论坛	15岁少女跪地当靠垫救人 坚持30分钟等急救车	http://bbs.wolfax.com/t-154395-1-1.html
Hong_2015-8-13_070	天易论坛	用十年诠释夫妻爱“最美残疾妻子”胡爱菊	http://bbs.wolfax.com/t-154388-1-1.html
Hong_2015-8-13_071	天易论坛	打开窗户，让自己透透气	http://bbs.wolfax.com/t-154348-1-1.html
Hong_2015-8-13_072	天易论坛	在勤奋中创造奇迹	http://bbs.wolfax.com/t-154334-1-1.html
Hong_2015-8-13_073	多维社区	徐崇温：在国际比较中坚持和拓展中国道路	http://blog.dwnews.com/post-838812.html
Hong_2015-8-13_074	多维社区	为国家需要而创新	http://blog.dwnews.com/post-838810.html
Hong_2015-8-13_075	多维社区	【辉煌50年·大美新西藏】沧桑巨变 雪域放歌	http://blog.dwnews.com/post-838814.html
Hong_2015-8-13_076	多维社区	中国梦的追梦人——马云和阿里巴巴的故事	http://blog.dwnews.com/post-838817.html
Hong_2015-8-13_077	多维社区	夏粮喜增3.3%（解码中国经济半年报）	http://blog.dwnews.com/post-838808.html
Hong_2015-8-13_078	多维社区	警卫参谋亲历南京受降：冈村宁次的手一直在抖	http://blog.dwnews.com/post-838823.html
Hong_2015-8-13_079	多维社区	在逆境中保持微笑	http://blog.dwnews.com/post-838807.html
Hong_2015-8-13_080	多维社区	按照“三严三实”要求 践行井冈山精神	http://blog.dwnews.com/post-838821.html
Hong_2015-8-13_081	多维社区	民政部等三部门要求做好慰问抗战老战士工作	http://blog.dwnews.com/post-838829.html
Hong_2015-8-13_082	多维社区	罗援：为抗战老兵发放补贴政治意义远超经济意义	http://blog.dwnews.com/post-838827.html
Hong_2015-8-13_083	多维社区	爱才重才助才 激扬创新力量	http://blog.dwnews.com/post-838830.html
Hong_2015-8-13_084	多维社区	清正廉洁是共产党人从政的法纪红线和道德准则	http://blog.dwnews.com/post-838832.html
Hong_2015-8-13_085	多维社区	西藏嬗变50年：离太阳最近，党中央常挂怀的地方	http://blog.dwnews.com/post-838835.html
Hong_2015-8-13_086	多维社区	西藏女性命运变迁：从命价“一根绳”到撑起半边天	http://blog.dwnews.com/post-838833.html
Hong_2015-8-13_087	多维社区	享受生命，让自己快乐	http://blog.dwnews.com/post-838838.html
Hong_2015-8-13_088	多维社区	佟麟阁：“军人就应以死报国”	http://blog.dwnews.com/post-838840.html
Hong_2015-8-13_089	多维社区	揭秘日本发动九一八事变侵略行径如何曝光于国际社会	http://blog.dwnews.com/post-838850.html
Hong_2015-8-13_090	多维社区	抗战丰碑：老兵群像和他们的故事	http://blog.dwnews.com/post-838845.html
Hong_2015-8-13_091	多维社区	发改委已下达18省市水污染治理投资计划	http://blog.dwnews.com/post-838855.html
Hong_2015-8-13_092	多维社区	10个月助6千位寻人者圆梦 《等着我》进军黄金档温情继续	http://blog.dwnews.com/post-838851.html
Hong_2015-8-13_093	多维社区	边防官兵与辖区政府工作人员救助老人	http://blog.dwnews.com/post-838870.html
Hong_2015-8-13_094	多维社区	留住美丽乡村的历史文脉	http://blog.dwnews.com/post-838857.html
Hong_2015-8-13_095	多维社区	改变自己	http://blog.dwnews.com/post-838890.html
Hong_2015-8-13_096	多维社区	如果无法赢在起点，就想办法赢在终点！	http://blog.dwnews.com/post-838893.html
Hong_2015-8-13_097	多维社区	纽约：为流浪汉免费做发型的汉子	http://blog.dwnews.com/post-838863.html
Hong_2015-8-13_098	多维社区	看得见未来才有未来	http://blog.dwnews.com/post-838871.html
Hong_2015-8-13_099	多维社区	生命的意义作文	http://blog.dwnews.com/post-838881.html
Hong_2015-8-13_100	多维社区	跨越苦难	http://blog.dwnews.com/post-838876.html
Hong_2015-8-13_101	多维社区	别迷失在“成功故事”中	http://blog.dwnews.com/post-838873.html
Hong_2015-8-13_102	多维社区	维护民族团结 ，增进血肉亲情  	http://blog.dwnews.com/post-838897.html
Hong_2015-8-13_103	多维社区	命中注定不是天才的我们	http://blog.dwnews.com/post-838875.html
Hong_2015-8-13_104	多维社区	奔跑不只为第一	http://blog.dwnews.com/post-838885.html
Hong_2015-8-13_105	多维社区	经历风雨才能见彩虹	http://blog.dwnews.com/post-838892.html
Hong_2015-8-13_106	多维社区	天道酬勤	http://blog.dwnews.com/post-838895.html
Hong_2015-8-13_107	多维社区	人才不靠天公降 勇于创新敢担当	http://blog.dwnews.com/post-838901.html
Hong_2015-8-13_108	多维社区	什么时候都不能丢弃“仁”性	http://blog.dwnews.com/post-838904.html
Hong_2015-8-13_109	多维社区	印度如何超越中国	http://blog.dwnews.com/post-838905.html
Hong_2015-8-13_110	多维社区	做一个友谊上的大富翁	http://blog.dwnews.com/post-838910.html
Hong_2015-8-13_111	多维社区	文明建造	http://blog.dwnews.com/post-838908.html
Hong_2015-8-13_112	多维社区	做人贵在难得糊涂	http://blog.dwnews.com/post-838918.html
Hong_2015-8-13_113	温哥华巅峰论坛	在逆境中保持微笑	http://forum.vanhi.com/forum.php?mod=viewthread&tid=232484
Hong_2015-8-13_114	多维社区	91岁老人心疼19岁患癌女生 愿资助四年学费	http://blog.dwnews.com/post-838935.html
Hong_2015-8-13_115	多维社区	打开窗户，让自己透透气	http://blog.dwnews.com/post-838933.html
Hong_2015-8-13_116	温哥华巅峰论坛	警卫参谋亲历南京受降：冈村宁次的手一直在抖	http://forum.vanhi.com/forum.php?mod=viewthread&tid=232490
Hong_2015-8-13_117	多维社区	在勤奋中创造奇迹	http://blog.dwnews.com/post-838931.html
Hong_2015-8-13_118	多维社区	远离不利的价值观	http://blog.dwnews.com/post-838928.html
Hong_2015-8-13_119	多维社区	适时放弃，打开心结	http://blog.dwnews.com/post-838934.html
Hong_2015-8-13_120	温哥华巅峰论坛	夏粮喜增3.3%（解码中国经济半年报）	http://forum.vanhi.com/forum.php?mod=viewthread&tid=232485
Hong_2015-8-13_121	多维社区	良言还需裹“糖衣”	http://blog.dwnews.com/post-838926.html
Hong_2015-8-13_122	温哥华巅峰论坛	徐崇温：在国际比较中坚持和拓展中国道路	http://forum.vanhi.com/forum.php?mod=viewthread&tid=232487
Hong_2015-8-13_123	多维社区	千万不要“不好意思”	http://blog.dwnews.com/post-838923.html
Hong_2015-8-13_124	温哥华巅峰论坛	为国家需要而创新	http://forum.vanhi.com/forum.php?mod=viewthread&tid=232486
Hong_2015-8-13_125	温哥华巅峰论坛	按照“三严三实”要求 践行井冈山精神	http://forum.vanhi.com/forum.php?mod=viewthread&tid=232489
Hong_2015-8-13_126	多维社区	用十年诠释夫妻爱“最美残疾妻子”胡爱菊	http://blog.dwnews.com/post-838941.html
Hong_2015-8-13_127	温哥华巅峰论坛	【辉煌50年·大美新西藏】沧桑巨变 雪域放歌	http://forum.vanhi.com/forum.php?mod=viewthread&tid=232488
Hong_2015-8-13_128	多维社区	贾树庆：我是一名保安更是一名党员	http://blog.dwnews.com/post-838937.html
Hong_2015-8-13_129	多维社区	15岁少女跪地当靠垫救人 坚持30分钟等急救车	http://blog.dwnews.com/post-838942.html
Hong_2015-8-13_130	消息树论坛	夏粮喜增3.3%（解码中国经济半年报）	http://enewstree.com/discuz/forum.php?mod=viewthread&tid=80002&extra=
Hong_2015-8-13_131	消息树论坛	为国家需要而创新	http://enewstree.com/discuz/forum.php?mod=viewthread&tid=80020&extra=
Hong_2015-8-13_132	消息树论坛	【辉煌50年·大美新西藏】沧桑巨变 雪域放歌	http://enewstree.com/discuz/forum.php?mod=viewthread&tid=80021&extra=
Hong_2015-8-13_133	温哥华巅峰论坛	罗援：为抗战老兵发放补贴政治意义远超经济意义	http://forum.vanhi.com/forum.php?mod=viewthread&tid=232491
